"StichtagDatJahr","AlterV05Cd","AlterV05Lang","PLZ","AnzBestWir"
1993,85,"85- bis 89-Jährige","8004",468
1993,85,"85- bis 89-Jährige","8005",133
1993,85,"85- bis 89-Jährige","8006",325
1993,85,"85- bis 89-Jährige","8008",336
1993,85,"85- bis 89-Jährige","8032",497
1993,85,"85- bis 89-Jährige","8037",368
1993,85,"85- bis 89-Jährige","8038",532
1993,85,"85- bis 89-Jährige","8041",86
1993,85,"85- bis 89-Jährige","8044",179
1993,85,"85- bis 89-Jährige","8045",207
1993,85,"85- bis 89-Jährige","8046",248
1993,85,"85- bis 89-Jährige","8047",374
1993,85,"85- bis 89-Jährige","8048",295
1993,85,"85- bis 89-Jährige","8049",296
1993,85,"85- bis 89-Jährige","8050",346
1993,85,"85- bis 89-Jährige","8051",281
1993,85,"85- bis 89-Jährige","8052",186
1993,85,"85- bis 89-Jährige","8053",214
1993,85,"85- bis 89-Jährige","8055",403
1993,85,"85- bis 89-Jährige","8057",421
1993,85,"85- bis 89-Jährige","8063",2
1993,85,"85- bis 89-Jährige","8064",84
1993,85,"85- bis 89-Jährige","9999",4
1993,90,"90- bis 94-Jährige","8001",34
1993,90,"90- bis 94-Jährige","8002",75
1993,90,"90- bis 94-Jährige","8003",72
1993,90,"90- bis 94-Jährige","8004",150
1993,90,"90- bis 94-Jährige","8005",34
1993,90,"90- bis 94-Jährige","8006",126
1993,90,"90- bis 94-Jährige","8008",106
1993,90,"90- bis 94-Jährige","8032",225
1993,90,"90- bis 94-Jährige","8037",132
1993,90,"90- bis 94-Jährige","8038",176
1993,90,"90- bis 94-Jährige","8041",31
1993,90,"90- bis 94-Jährige","8044",67
1993,90,"90- bis 94-Jährige","8045",50
1993,90,"90- bis 94-Jährige","8046",53
1993,90,"90- bis 94-Jährige","8047",97
1993,90,"90- bis 94-Jährige","8048",71
1993,90,"90- bis 94-Jährige","8049",85
1993,90,"90- bis 94-Jährige","8050",84
1993,90,"90- bis 94-Jährige","8051",79
1993,90,"90- bis 94-Jährige","8052",30
1993,90,"90- bis 94-Jährige","8053",60
1993,90,"90- bis 94-Jährige","8055",122
1993,90,"90- bis 94-Jährige","8057",131
1993,90,"90- bis 94-Jährige","8064",21
1993,95,"95- bis 99-Jährige","8001",4
1993,95,"95- bis 99-Jährige","8002",12
1993,95,"95- bis 99-Jährige","8003",9
1993,95,"95- bis 99-Jährige","8004",24
1993,95,"95- bis 99-Jährige","8005",5
1993,95,"95- bis 99-Jährige","8006",21
1993,95,"95- bis 99-Jährige","8008",25
1993,95,"95- bis 99-Jährige","8032",43
1993,95,"95- bis 99-Jährige","8037",24
1993,95,"95- bis 99-Jährige","8038",31
1993,95,"95- bis 99-Jährige","8041",8
1993,95,"95- bis 99-Jährige","8044",12
1993,95,"95- bis 99-Jährige","8045",9
1993,95,"95- bis 99-Jährige","8046",11
1993,95,"95- bis 99-Jährige","8047",19
1993,95,"95- bis 99-Jährige","8048",14
1993,95,"95- bis 99-Jährige","8049",21
1993,95,"95- bis 99-Jährige","8050",16
1993,95,"95- bis 99-Jährige","8051",14
1993,95,"95- bis 99-Jährige","8052",2
1993,95,"95- bis 99-Jährige","8053",16
1993,95,"95- bis 99-Jährige","8055",16
1993,95,"95- bis 99-Jährige","8057",22
1993,95,"95- bis 99-Jährige","8064",3
1993,100,"100-Jährige und Ältere","8001",1
1993,100,"100-Jährige und Ältere","8002",1
1993,100,"100-Jährige und Ältere","8003",2
1993,100,"100-Jährige und Ältere","8005",2
1993,100,"100-Jährige und Ältere","8006",1
1993,100,"100-Jährige und Ältere","8008",2
1993,100,"100-Jährige und Ältere","8032",7
1993,100,"100-Jährige und Ältere","8037",1
1993,100,"100-Jährige und Ältere","8038",4
1993,100,"100-Jährige und Ältere","8041",1
1993,100,"100-Jährige und Ältere","8044",2
1993,100,"100-Jährige und Ältere","8045",1
1993,100,"100-Jährige und Ältere","8046",1
1993,100,"100-Jährige und Ältere","8048",1
1993,100,"100-Jährige und Ältere","8049",1
1993,100,"100-Jährige und Ältere","8052",1
1993,100,"100-Jährige und Ältere","8064",1
1994,0,"0- bis 4-Jährige","8001",122
1994,0,"0- bis 4-Jährige","8002",373
1994,0,"0- bis 4-Jährige","8003",1010
1994,0,"0- bis 4-Jährige","8004",1339
1994,0,"0- bis 4-Jährige","8005",440
1994,0,"0- bis 4-Jährige","8006",679
1994,0,"0- bis 4-Jährige","8008",571
1994,0,"0- bis 4-Jährige","8032",592
1994,0,"0- bis 4-Jährige","8037",706
1994,0,"0- bis 4-Jährige","8038",686
1994,0,"0- bis 4-Jährige","8041",204
1994,0,"0- bis 4-Jährige","8044",268
1994,0,"0- bis 4-Jährige","8045",523
1994,0,"0- bis 4-Jährige","8046",940
1994,0,"0- bis 4-Jährige","8047",659
1994,0,"0- bis 4-Jährige","8048",1053
1994,0,"0- bis 4-Jährige","8049",838
1994,0,"0- bis 4-Jährige","8050",989
1994,0,"0- bis 4-Jährige","8051",995
1994,0,"0- bis 4-Jährige","8052",751
1994,0,"0- bis 4-Jährige","8053",388
1994,0,"0- bis 4-Jährige","8055",764
1994,0,"0- bis 4-Jährige","8057",787
1994,0,"0- bis 4-Jährige","8063",5
1994,0,"0- bis 4-Jährige","8064",195
1994,0,"0- bis 4-Jährige","8152",2
1994,0,"0- bis 4-Jährige","9999",8
1994,5,"5- bis 9-Jährige","8001",109
1994,5,"5- bis 9-Jährige","8002",264
1994,5,"5- bis 9-Jährige","8003",825
1994,5,"5- bis 9-Jährige","8004",946
1994,5,"5- bis 9-Jährige","8005",321
1994,5,"5- bis 9-Jährige","8006",475
